2018-06-08 16:51:55,342 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x10005e809580001 type:create cxid:0x33 zxid:0xc2d txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2018-06-08 16:51:55,360 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x10005e809580001 type:create cxid:0x35 zxid:0xc2e txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2018-06-08 16:51:55,385 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x10005e809580001 type:create cxid:0x37 zxid:0xc2f txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2018-06-08 16:51:55,389 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x10005e809580001 type:create cxid:0x39 zxid:0xc30 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2018-06-08 16:51:55,408 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x10005e809580001 type:create cxid:0x3b zxid:0xc31 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2018-06-08 16:51:55,417 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x10005e809580001 type:create cxid:0x3d zxid:0xc32 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2018-06-08 16:51:55,423 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x10005e809580001 type:create cxid:0x3f zxid:0xc33 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2018-06-08 16:51:55,426 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x10005e809580001 type:create cxid:0x41 zxid:0xc34 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2018-06-08 16:51:55,946 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:59248
2018-06-08 16:51:55,949 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@948] - Client attempting to establish new session at /127.0.0.1:59248
2018-06-08 16:51:55,975 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@693] - Established session 0x10005e809580002 with negotiated timeout 10000 for client /127.0.0.1:59248
2018-06-08 17:30:00,563 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /192.168.0.80:36530
2018-06-08 17:30:00,569 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@948] - Client attempting to establish new session at /192.168.0.80:36530
2018-06-08 17:30:00,583 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@693] - Established session 0x10005e809580003 with negotiated timeout 10000 for client /192.168.0.80:36530
2018-06-08 17:46:03,570 [myid:] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x10005e809580003, likely client has closed socket
2018-06-08 17:46:03,573 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1040] - Closed socket connection for client /192.168.0.80:36530 which had sessionid 0x10005e809580003
2018-06-08 17:46:12,138 [myid:] - INFO  [SessionTracker:ZooKeeperServer@354] - Expiring session 0x10005e809580003, timeout of 10000ms exceeded
2018-06-08 17:46:12,141 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x10005e809580003
2018-06-11 11:23:23,008 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x10005e809580001 type:create cxid:0x30fd5 zxid:0xc44 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2018-06-11 11:23:24,142 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x10005e809580002
2018-06-11 11:23:24,168 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1040] - Closed socket connection for client /127.0.0.1:59248 which had sessionid 0x10005e809580002
2018-06-11 11:23:24,183 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x10005e809580001
2018-06-11 11:23:24,192 [myid:] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x10005e809580001, likely client has closed socket
2018-06-11 11:23:24,206 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1040] - Closed socket connection for client /127.0.0.1:59246 which had sessionid 0x10005e809580001
2018-06-11 11:23:56,906 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:59272
2018-06-11 11:23:56,926 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@948] - Client attempting to establish new session at /127.0.0.1:59272
2018-06-11 11:23:56,944 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@693] - Established session 0x10005e809580004 with negotiated timeout 30000 for client /127.0.0.1:59272
2018-06-11 11:23:57,050 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x10005e809580004
2018-06-11 11:23:57,063 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1040] - Closed socket connection for client /127.0.0.1:59272 which had sessionid 0x10005e809580004
2018-06-11 11:23:58,606 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:59274
2018-06-11 11:23:58,607 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@948] - Client attempting to establish new session at /127.0.0.1:59274
2018-06-11 11:23:58,611 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@693] - Established session 0x10005e809580005 with negotiated timeout 15000 for client /127.0.0.1:59274
2018-06-11 11:23:58,654 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x10005e809580005 type:create cxid:0x1 zxid:0xc51 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2018-06-11 11:23:58,687 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x10005e809580005 type:create cxid:0x3 zxid:0xc52 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2018-06-11 11:23:58,694 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x10005e809580005 type:create cxid:0x5 zxid:0xc53 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2018-06-11 11:23:58,701 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x10005e809580005 type:create cxid:0x6 zxid:0xc54 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2018-06-11 11:23:58,705 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x10005e809580005 type:create cxid:0x8 zxid:0xc55 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
